Gene,Mean_Normalized_Counts,condition-cKOvsaFL.log2FC,condition-cKOvsaFL.FC,condition-cKOvsaFL.RawP,condition-cKOvsaFL.FDR,cKO_A2.stabilized,cKO_E1.stabilized,cKO_F1.stabilized,cKO_G1.stabilized,cKO_H1.stabilized,FL_A1.stabilized,FL_B1.stabilized,FL_C1.stabilized,FL_D1.stabilized,miR-15/16 seed-match location,AHC reads
Vps45,819.7175661,-0.336685715,0.79185835,0.0063242080000000004,0.071914073,9.48847629,9.652083681,9.629782567,9.615747277,9.896217068,9.92800503,9.848425836,9.873132296,10.32187648,NA,NA
Vps4a,2091.031753,-0.22020065,0.858446035,0.04803349,0.225949662,10.81318115,11.01421664,10.8413606,10.96898539,11.23423051,11.08025458,11.17781391,11.12282056,11.44749997,NA,NA
Vps4b,3567.476329,0.011814265,1.008222647,0.861867538,0.942083147,11.8784234,11.78403475,11.93308195,11.8685318,11.7358383,11.7723107,11.86150659,11.88036137,11.80209284,NA,NA
Vps50,1006.72935,0.009331109,1.006488793,0.922193139,0.969603249,10.13762306,9.991800112,10.28407761,10.15813065,9.900431634,10.02447874,10.09423644,10.14651181,10.09724249,NA,NA
Vps51,1454.270279,-0.16537358,0.891697588,0.077889744,0.288795127,10.44847702,10.62225449,10.29226728,10.54513719,10.6397178,10.64150854,10.66439354,10.61442412,10.79839665,Not_3UTR,0
Vps52,2695.829132,0.086533505,1.061815793,0.167602321,0.425338975,11.41721656,11.53630943,11.43716671,11.53310542,11.47794182,11.39719792,11.41644984,11.44356103,11.31972713,NA,NA
Vps53,1707.23162,-0.111924769,0.925352681,0.122965552,0.363234473,10.6254479,10.73589798,10.81157374,10.828201,10.79244148,10.94359085,10.82215556,10.87837131,10.83609417,NA,NA
Vps54,3212.577349,-0.039746373,0.972825956,0.611108987,0.807335651,11.63023959,11.58235437,11.71353382,11.74004371,11.68351186,11.63762434,11.82528477,11.78776154,11.58024545,NA,NA
Vps72,1692.859841,-0.168260134,0.889915257,0.05776508,0.247721483,10.73817048,10.74540655,10.55396014,10.66040134,10.88735981,10.82132729,10.87461274,10.8424596,11.01618846,NA,NA
Vps8,643.5391015,-0.163442399,0.892892007,0.079165651,0.291177253,9.545433131,9.387719585,9.510221851,9.392692296,9.368152003,9.771623986,9.509831062,9.561005816,9.528449646,Not_3UTR,0
Vps9d1,496.8001924,-0.113085055,0.924608765,0.330356803,0.604935037,8.972615784,9.233391047,8.905901775,9.256981112,9.284397879,9.083756116,9.304858033,9.242356203,9.342337027,Not_3UTR,0
Vrk1,4315.7656,-0.310509768,0.806356787,0.003014675,0.046116539,11.82655733,11.95871461,11.91730146,11.96352161,12.0685634,12.13457394,12.15578963,12.19411814,12.58222848,Not_3UTR,3
Vrk2,1152.915886,-0.25756905,0.836496234,0.048025689,0.225949662,9.84797557,10.16686342,9.995290767,10.21615075,10.44696207,10.19115069,10.39439568,10.40159431,10.66696046,NA,NA
Vrk3,2381.912828,-0.155484895,0.897830558,0.220974927,0.487550131,10.95579739,11.23701499,10.94510138,11.25461338,11.49612149,11.13030702,11.38535707,11.30797501,11.59057102,NA,NA
Vrtn,22.35262052,0.199726025,1.148480232,0.30744075,0.583998973,6.847264203,6.349276525,6.681582082,6.420857192,6.308626481,6.630446946,6.2176536,6.350630896,6.384304705,Not_3UTR,0
